time,Network.R1.received_or_dropped:vector
0.102771093332,1
0.209778316706,1
0.319588580958,1
0.424188818637,1
0.543340389417,1
0.645626147164,1
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,0
1.455532101723,1
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,0
2.852508923036,1
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,0
3.955882471286,1
4.048947989162,1
4.253267024663,0
4.253267024663,1
4.354976329068,1
4.44923528685,1
4.553093844488,1
4.855266797623,0
4.855266797623,0
4.855266797623,1
5.150951270821,0
5.150951270821,0
5.150951270821,1
5.250645961925,1
5.45585585073,0
5.45585585073,1
5.551626248606,1
5.651183952989,1
5.738696484339,1
5.826027655693,1
5.912315440333,1
6.015402211365,1
6.117318662409,1
6.212916553619,1
6.30877161814,1
6.404730769234,1
6.506245384983,1
6.604620062993,1
6.702767157103,1
6.802769344826,1
6.903879769244,1
7.005348066448,1
7.103337317641,1
7.205517033916,1
7.312708204922,1
7.42868065574,1
7.541763746593,1
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,0
8.353542821518,1
8.545408043707,0
8.545408043707,1
8.652798494658,1
8.755449265738,1
8.953502807902,0
8.953502807902,1
9.053377258998,1
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,0
10.054917609481,1
10.246613178502,0
10.246613178502,1
10.344448002978,1
10.854871698099,0
10.854871698099,0
10.854871698099,0
10.854871698099,0
10.854871698099,1
11.253737395689,0
11.253737395689,0
11.253737395689,0
11.253737395689,1
11.352389313473,1
11.444430031376,1
11.539828429229,1
11.646343306919,1
11.744898664769,1
11.834157569393,1
11.946341433653,1
12.253334306798,0
12.253334306798,0
12.253334306798,1
12.45442200878,0
12.45442200878,1
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,0
13.154446446043,1
13.34928777492,0
13.34928777492,1
13.445466759489,1
13.544452170624,1
13.652673368307,1
13.754904059421,1
14.048622212846,0
14.048622212846,0
14.048622212846,1
14.140182344165,1
14.238614875357,1
14.346984953007,1
14.449485190784,1
14.549101161926,1
14.652788652996,1
14.742868171012,1
14.833586835601,1
14.932713473391,1
15.029949711245,1
15.124621229155,1
15.218026107067,1
15.30890471836,1
15.402730666666,1
15.50323160757,1
15.603765450856,1
15.702769444911,1
15.807274275071,1
15.90421037269,1
16.003841395535,1
16.107546993256,1
16.20722712109,1
16.311831412078,1
16.42249527634,1
16.529651300712,1
16.632670471735,1
16.73278641613,1
16.827367880601,1
16.935241344877,1
17.045554889065,1
17.15593584655,1
17.352439121978,0
17.352439121978,1
17.455318346344,1
17.849243324076,0
17.849243324076,0
17.849243324076,0
17.849243324076,1
17.948800335174,1
18.053380999561,1
18.255862861709,0
18.255862861709,1
18.354278299515,1
18.449270057432,1
18.554011388529,1
18.655625439575,1
18.752907917406,1
19.354738010582,0
19.354738010582,0
19.354738010582,0
19.354738010582,0
19.354738010582,0
19.354738010582,1
19.651758057279,0
19.651758057279,0
19.651758057279,1
19.748036428437,1
19.843594292996,1
19.954831890574,1
20.053167915062,1
20.155812686145,1
20.241433004163,1
20.336210575382,1
20.426098573358,1
20.530668704405,1
20.632661048837,1
20.735052459966,1
20.852992857503,1
20.948495548698,1
21.147429064052,0
21.147429064052,1
21.251657115041,1
21.553568681518,0
21.553568681518,0
21.553568681518,1
21.653850092595,1
21.753788810432,1
22.154545734594,0
22.154545734594,0
22.154545734594,0
22.154545734594,1
22.252219012329,1
22.354482503331,1
22.446530287857,1
22.551255165478,1
22.648544069847,1
22.751772947558,1
22.941583903198,0
22.941583903198,1
23.033185821026,1
23.139919205369,1
23.226422963343,1
23.308220721312,1
23.4049821843,1
23.509199968607,1
23.622414366072,1
23.736341350255,1
23.849911721046,1
23.953959558601,1
24.043107769843,1
24.135772407711,1
24.228669792193,1
24.314921683516,1
24.408856268092,1
24.511831412456,1
24.607116716964,1
24.716571327907,1
24.825627405521,1
24.926365776631,1
25.036298094259,1
25.254976676208,0
25.254976676208,1
25.351315633982,1
25.454634244959,1
25.852055916039,0
25.852055916039,0
25.852055916039,0
25.852055916039,1
25.95541711374,1
26.045500738302,1
26.137086282842,1
26.234012760665,1
26.335425798341,1
26.42770947618,1
26.520101607353,1
26.628341818289,1
26.73629509596,1
26.835903067065,1
26.946703651314,1
27.053007995641,1
27.155082500037,1
27.254473031158,1
27.653707715572,0
27.653707715572,0
27.653707715572,0
27.653707715572,1
27.751168726745,1
27.851832591162,1
27.935144349238,1
28.036526987017,1
28.128621011549,1
28.227938342688,1
28.316079220546,1
28.408674738426,1
28.503656576317,1
28.611479187321,1
28.715669611731,1
28.826042622704,1
28.921289340592,1
29.020666671756,1
29.123961736057,1
29.238114853557,1
29.343376611167,1
29.451325168802,1
29.55303372652,1
29.654186790901,1
29.755115695292,1
29.953258917374,0
29.953258917374,1
